#separator:tab
#html:true
#tags column:4
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是 (shì) — verbe copule</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是 = être. Négation : 不是. Question : 是…吗 ? ou A是不是B ?<br><br><b>Exemples :</b><br>• 我是法国人。<br><small>wǒ <span class=""t4"">shì</span> <span class=""t3"">Fǎ</span><span class=""t2"">guó</span><span class=""t2"">rén</span>。</small><br><i>Je suis français(e).</i><br><br>• 她不是老师，是医生。<br><small><span class=""t1"">tā</span> <span class=""t4"">bù</span> <span class=""t4"">shì</span> <span class=""t3"">lǎo</span><span class=""t1"">shī</span>…</small><br><i>Elle n'est pas professeure, elle est médecin.</i><br><br>• 你是学生吗？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">shì</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span> <span class=""t0"">ma</span>？</small><br><i>Es-tu étudiant(e) ?</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">比 (bǐ) — comparaison</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>A + 比 + B + adj = A est plus adj que B. Le complément de degré (一点/很多/得多) se place APRÈS l'adj.<br><br><b>Exemples :</b><br>• 她比我高一点。<br><small><span class=""t1"">tā</span> <span class=""t3"">bǐ</span> <span class=""t3"">wǒ</span> <span class=""t1"">gāo</span> <span class=""t4"">yī</span><span class=""t3"">diǎn</span>。</small><br><i>Elle est un peu plus grande que moi.</i><br><br>• 今天比昨天冷得多。<br><small><span class=""t1"">jīn</span><span class=""t1"">tiān</span> <span class=""t3"">bǐ</span> <span class=""t2"">zuó</span><span class=""t1"">tiān</span> <span class=""t3"">lěng</span> <span class=""t0"">de</span> <span class=""t1"">duō</span>。</small><br><i>Il fait beaucoup plus froid aujourd'hui qu'hier.</i><br><br>• 他跑得比我快。<br><small><span class=""t1"">tā</span> <span class=""t3"">pǎo</span> <span class=""t0"">de</span> <span class=""t3"">bǐ</span> <span class=""t3"">wǒ</span> <span class=""t4"">kuài</span>。</small><br><i>Il court plus vite que moi.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">时间词的位置 — position des expressions de temps</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Les expressions de temps se placent soit avant le sujet (thème temporel) soit après le sujet, mais <b>jamais après le verbe</b> (contrairement au français).<br><br><b>Exemples :</b><br>• 明天我要去北京。<br><small>míngtiān wǒ yào qù Běijīng</small><br><i>Demain j'irai à Pékin.</i><br><br>• 我明天要去北京。<br><small>wǒ míngtiān yào qù Běijīng</small><br><i>Je vais à Pékin demain.</i><br><br>• ⚠ 错误：我要去北京明天。<br><small>wǒ yào qù Běijīng míngtiān ← FAUX</small><br><i>Le temps ne peut pas finir la phrase.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">程度副词 — adverbes de degré</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>很</b> (assez/neutre) · <b>非常/极其</b> (très/extrêmement) · <b>太…了</b> (trop) · <b>有点</b> (un peu, souvent négatif) · <b>比较</b> (relativement).<br><br><b>Exemples :</b><br>• 这道菜有点咸。<br><small>zhè dào cài yǒudiǎn xián</small><br><i>Ce plat est un peu trop salé.</i><br><br>• 她非常聪明。<br><small>tā fēicháng cōngming</small><br><i>Elle est extrêmement intelligente.</i><br><br>• 这件衣服太贵了！<br><small>zhè jiàn yīfu tài guì le !</small><br><i>Ce vêtement est vraiment trop cher !</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">还是 vs 或者 — ou bien (choix)</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>还是</b> = ou bien (dans les questions alternatives, à l'oral). <b>或者</b> = ou (dans les affirmations). ⚠ Ne pas confondre avec 还 = encore.<br><br><b>Exemples :</b><br>• 你喝茶还是咖啡？<br><small>nǐ hē chá háishi kāfēi ?</small><br><i>Tu bois du thé ou du café ?</i><br><br>• 可以发邮件或者打电话联系我。<br><small>kěyǐ fā yóujiàn huòzhě dǎ diànhuà</small><br><i>Tu peux m'envoyer un email ou m'appeler.</i><br><br>• ⚠ 错：你喝茶或者咖啡？<br><small>(hors question, 或者 est maladroit ici)</small><br><i>Dans les questions, préférer 还是.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">多 / 少 + V — un peu plus/moins</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>多</b> + V = faire davantage. <b>少</b> + V = faire moins. Toujours avant le verbe.<br><br><b>Exemples :</b><br>• 你要多喝水。<br><small>nǐ yào duō hē shuǐ</small><br><i>Tu dois boire plus d'eau.</i><br><br>• 少吃甜食对身体好。<br><small>shǎo chī tiánshí duì shēntǐ hǎo</small><br><i>Manger moins sucré est bon pour la santé.</i><br><br>• 多练习才能进步。<br><small>duō liànxí cái néng jìnbù</small><br><i>C'est en pratiquant davantage qu'on progresse.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">快/快要/要/就要…了 — bientôt / sur le point de</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Expriment l'imminence d'une action : <b>快(要)…了</b> = bientôt (peut-être avec délai).<br><b>就要…了</b> = sur le point de (délai court/certain).<br><br><b>Exemples :</b><br>• 快要下雨了，带伞吧。<br><small>kuàiyào xià yǔ le, dài sǎn ba</small><br><i>Il va bientôt pleuvoir, prends un parapluie.</i><br><br>• 火车就要开了。<br><small>huǒchē jiùyào kāi le</small><br><i>Le train est sur le point de partir.</i><br><br>• 她就要生孩子了。<br><small>tā jiùyào shēng háizi le</small><br><i>Elle est sur le point d'accoucher.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">先…再/然后… — d'abord…puis…</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>先</b> + V1 + <b>再/然后</b> + V2 = séquence temporelle. 先 insiste sur l'ordre.<br><br><b>Exemples :</b><br>• 先洗手再吃饭。<br><small>xiān xǐ shǒu zài chī fàn</small><br><i>D'abord lave-toi les mains, puis mange.</i><br><br>• 你先坐，我马上来。<br><small>nǐ xiān zuò, wǒ mǎshàng lái</small><br><i>Assieds-toi d'abord, j'arrive tout de suite.</i><br><br>• 先完成作业，然后再玩。<br><small>xiān wánchéng zuòyè, rán hòu zài wán</small><br><i>D'abord finir les devoirs, puis jouer.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">有…的话 — si tant est que / à supposer que</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Forme une condition douce. Moins affirmée que 如果. Souvent à l'oral.<br><br><b>Exemples :</b><br>• 有时间的话，我们去喝杯咖啡。<br><small>yǒu shíjiān de huà, wǒmen qù hē bēi kāfēi</small><br><i>Si vous avez le temps, allons boire un café.</i><br><br>• 有问题的话，随时来问我。<br><small>yǒu wèntí de huà, suíshí lái wèn wǒ</small><br><i>Si vous avez des questions, venez me voir n'importe quand.</i><br><br>• 有机会的话，我想去一次日本。<br><small>yǒu jīhuì de huà, wǒ xiǎng qù yī cì Rìběn</small><br><i>Si l'occasion se présente, j'aimerais aller au Japon.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">把 (bǎ) — structure de disposition</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>把 déplace l'objet avant le verbe pour insister sur le résultat. Structure : 主 + 把 + 宾 + V + résultat/lieu. ⚠ Le verbe doit avoir un complément.<br><br><b>Exemples :</b><br>• 她把书放在桌子上了。<br><small><span class=""t1"">tā</span> <span class=""t3"">bǎ</span> <span class=""t1"">shū</span> <span class=""t4"">fàng</span> <span class=""t4"">zài</span>…</small><br><i>Elle a mis le livre sur la table.</i><br><br>• 他把作业做完了。<br><small><span class=""t1"">tā</span> <span class=""t3"">bǎ</span> <span class=""t4"">zuò</span><span class=""t4"">yè</span> <span class=""t4"">zuò</span><span class=""t2"">wán</span> <span class=""t0"">le</span>。</small><br><i>Il a fini ses devoirs.</i><br><br>• 我把钱包丢了。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">bǎ</span> <span class=""t2"">qián</span><span class=""t1"">bāo</span> <span class=""t1"">diū</span> <span class=""t0"">le</span>。</small><br><i>J'ai perdu mon portefeuille.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">被 (bèi) — voix passive</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Sujet + 被 + (agent) + V + résultat. Le sujet subit l'action. En chinois, le passif implique souvent quelque chose de négatif pour le sujet.<br><br><b>Exemples :</b><br>• 他的自行车被偷了。<br><small><span class=""t1"">tā</span> <span class=""t0"">de</span> <span class=""t4"">zì</span><span class=""t2"">xíng</span><span class=""t1"">chē</span> <span class=""t4"">bèi</span> <span class=""t1"">tōu</span> <span class=""t0"">le</span>。</small><br><i>Son vélo a été volé.</i><br><br>• 这本书被翻译成了法语。<br><small><span class=""t4"">zhè</span> <span class=""t3"">běn</span> <span class=""t1"">shū</span> <span class=""t4"">bèi</span> <span class=""t1"">fān</span><span class=""t4"">yì</span>…</small><br><i>Ce livre a été traduit en français.</i><br><br>• 她被老师表扬了。<br><small><span class=""t1"">tā</span> <span class=""t4"">bèi</span> <span class=""t3"">lǎo</span><span class=""t1"">shī</span> <span class=""t3"">biǎo</span><span class=""t2"">yáng</span> <span class=""t0"">le</span>。</small><br><i>Elle a été félicitée par son professeur.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 得 + complément de degré</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>V + 得 + adv/adj = exprimer comment une action est faite ou son résultat. ⚠ 得 se place APRÈS le verbe, jamais avant.<br><br><b>Exemples :</b><br>• 她说得很流利。<br><small><span class=""t1"">tā</span> <span class=""t1"">shuō</span> <span class=""t0"">de</span> <span class=""t3"">hěn</span> <span class=""t2"">liú</span><span class=""t4"">lì</span>。</small><br><i>Elle parle couramment.</i><br><br>• 他跑得太快了。<br><small><span class=""t1"">tā</span> <span class=""t3"">pǎo</span> <span class=""t0"">de</span> <span class=""t4"">tài</span> <span class=""t4"">kuài</span> <span class=""t0"">le</span>。</small><br><i>Il court trop vite.</i><br><br>• 这道菜做得不好吃。<br><small><span class=""t4"">zhè</span> <span class=""t4"">dào</span> <span class=""t4"">cài</span> <span class=""t4"">zuò</span> <span class=""t0"">de</span> <span class=""t4"">bù</span> <span class=""t3"">hǎo</span><span class=""t1"">chī</span>。</small><br><i>Ce plat n'est pas bien préparé.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">一…就… — dès que / aussitôt que</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>一 + V1 + 就 + V2 = dès que / aussitôt que. Succession immédiate entre deux actions.<br><br><b>Exemples :</b><br>• 她一回家就睡觉。<br><small><span class=""t1"">tā</span> <span class=""t4"">yī</span> <span class=""t2"">huí</span><span class=""t1"">jiā</span> <span class=""t4"">jiù</span> <span class=""t4"">shuì</span><span class=""t4"">jiào</span>。</small><br><i>Dès qu'elle rentre, elle dort.</i><br><br>• 他一看到她就笑了。<br><small><span class=""t1"">tā</span> <span class=""t4"">yī</span> <span class=""t4"">kàn</span><span class=""t4"">dào</span> <span class=""t1"">tā</span> <span class=""t4"">jiù</span> <span class=""t4"">xiào</span> <span class=""t0"">le</span>。</small><br><i>Dès qu'il l'a vue, il a souri.</i><br><br>• 一说话她就紧张。<br><small><span class=""t4"">yī</span> <span class=""t1"">shuō</span><span class=""t4"">huà</span> <span class=""t1"">tā</span> <span class=""t4"">jiù</span> <span class=""t3"">jǐn</span><span class=""t1"">zhāng</span>。</small><br><i>Dès qu'elle parle, elle est stressée.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">越…越… — plus…plus…</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>越 + V/adj + 越 + V/adj. Les deux 越 peuvent avoir des sujets différents.<br><br><b>Exemples :</b><br>• 越吃越想吃。<br><small><span class=""t4"">yuè</span> <span class=""t1"">chī</span> <span class=""t4"">yuè</span> <span class=""t3"">xiǎng</span> <span class=""t1"">chī</span>。</small><br><i>Plus on en mange, plus on en veut.</i><br><br>• 天气越来越冷了。<br><small><span class=""t1"">tiān</span><span class=""t4"">qì</span> <span class=""t4"">yuè</span><span class=""t2"">lái</span><span class=""t4"">yuè</span> <span class=""t3"">lěng</span> <span class=""t0"">le</span>。</small><br><i>Le temps est de plus en plus froid.</i><br><br>• 她越说越激动。<br><small><span class=""t1"">tā</span> <span class=""t4"">yuè</span> <span class=""t1"">shuō</span> <span class=""t4"">yuè</span> <span class=""t1"">jī</span><span class=""t4"">dòng</span>。</small><br><i>Plus elle parle, plus elle s'emballe.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">连…都/也… — même…</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>连 + X + 都/也 + V = même X fait/est V (renforcement par l'exemple extrême).<br><br><b>Exemples :</b><br>• 连小孩都知道。<br><small><span class=""t2"">lián</span> <span class=""t3"">xiǎo</span><span class=""t2"">hái</span> <span class=""t1"">dōu</span> <span class=""t1"">zhī</span><span class=""t4"">dào</span>。</small><br><i>Même les enfants le savent.</i><br><br>• 他连饭都没吃。<br><small><span class=""t1"">tā</span> <span class=""t2"">lián</span> <span class=""t4"">fàn</span> <span class=""t1"">dōu</span> <span class=""t2"">méi</span> <span class=""t1"">chī</span>。</small><br><i>Il n'a même pas mangé.</i><br><br>• 她连他的名字都不记得了。<br><small><span class=""t1"">tā</span> <span class=""t2"">lián</span> <span class=""t1"">tā</span> <span class=""t0"">de</span> <span class=""t2"">míng</span><span class=""t4"">zi</span> <span class=""t1"">dōu</span>…</small><br><i>Elle ne se souvient même plus de son nom.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是…的 — structure de mise en relief</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是…的 met en relief le lieu, le moment, la manière ou l'agent d'une action passée déjà connue.<br><br><b>Exemples :</b><br>• 他是昨天来的。<br><small><span class=""t1"">tā</span> <span class=""t4"">shì</span> <span class=""t2"">zuó</span><span class=""t1"">tiān</span> <span class=""t2"">lái</span> <span class=""t0"">de</span>。</small><br><i>C'est hier qu'il est venu.</i><br><br>• 她是坐飞机来的。<br><small><span class=""t1"">tā</span> <span class=""t4"">shì</span> <span class=""t4"">zuò</span> <span class=""t1"">fēi</span><span class=""t1"">jī</span> <span class=""t2"">lái</span> <span class=""t0"">de</span>。</small><br><i>C'est en avion qu'elle est venue.</i><br><br>• 这本书是他买的。<br><small><span class=""t4"">zhè</span> <span class=""t3"">běn</span> <span class=""t1"">shū</span> <span class=""t4"">shì</span> <span class=""t1"">tā</span> <span class=""t3"">mǎi</span> <span class=""t0"">de</span>。</small><br><i>C'est lui qui a acheté ce livre.</i><br><br></div>"		grammaire deck_v2
