#separator:tab
#html:true
#tags column:4
#deck column:5
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是 (shì) — verbe copule</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是 = être. Négation : 不是. Question : 是…吗 ? ou A是不是B ?<br><br><b>Exemples :</b><br>• 我是法国人。<br><small><span class=""t3"">wǒ</span> <span class=""t4"">shì</span> <span class=""t3"">fǎ</span><span class=""t2"">guó</span><span class=""t2"">rén</span>。</small><br><i>Je suis français(e).</i><br><br>• 她不是老师，是医生。<br><small><span class=""t1"">tā</span> <span class=""t2"">bú</span><span class=""t4"">shì</span> <span class=""t3"">lǎo</span><span class=""t1"">shī</span>， <span class=""t4"">shì</span> <span class=""t1"">yī</span><span class=""t1"">shēng</span>。</small><br><i>Elle n'est pas professeure, elle est médecin.</i><br><br>• 你是学生吗？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">shì</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span> <span class=""t0"">ma</span>？</small><br><i>Es-tu étudiant(e) ?</i><br><br></div>"		HSK::1 grammaire deck_v2	Chinois::Grammaire::1 · HSK 1
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">该 + V + 了 — il est temps de…</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Formule : (sujet +) 该 + verbe + 了. Indique que le moment est venu de faire quelque chose, d'après l'heure, l'habitude ou la situation : 该睡觉了 = c'est l'heure d'aller dormir. Avec une personne, 该 + personne + 了 signifie « c'est au tour de… » (该你了). À distinguer de 应该 + verbe, qui exprime une obligation ou un conseil, sans l'idée d'un moment arrivé.<br><br><b>Exemples :</b><br>• 十一点了，该睡觉了。<br><small><span class=""t2"">shí</span><span class=""t1"">yī</span><span class=""t3"">diǎn</span> <span class=""t0"">le</span>， <span class=""t1"">gāi</span> <span class=""t4"">shuì</span><span class=""t4"">jiào</span> <span class=""t0"">le</span>。</small><br><i>Il est onze heures, il est temps d'aller dormir.</i><br><br>• 我们该走了，明天见！<br><small><span class=""t3"">wǒ</span><span class=""t0"">men</span> <span class=""t1"">gāi</span> <span class=""t3"">zǒu</span> <span class=""t0"">le</span>， <span class=""t2"">míng</span><span class=""t1"">tiān</span> <span class=""t4"">jiàn</span>！</small><br><i>Il est temps qu'on y aille, à demain !</i><br><br>• 下一个该你了。<br><small><span class=""t4"">xià</span> <span class=""t2"">yí</span><span class=""t4"">gè</span> <span class=""t1"">gāi</span> <span class=""t3"">nǐ</span> <span class=""t0"">le</span>。</small><br><i>Après, c'est ton tour.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">在…上 / 下 / 中 — sur le plan de, sous l'effet de, au cours de</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Ces cadres abstraits situent l'action dans un domaine ou une situation. 在 + nom + 上 : sur le plan de, en matière de (在学习上, 在工作上). 在 + nom + 下 : sous l'effet de, grâce à une condition (在老师的帮助下 = avec l'aide du professeur). 在 + nom + 中 : dans un processus ou un milieu (在生活中, 在学习中). Le groupe se met en tête de phrase ou devant le verbe, jamais en fin de phrase.<br><br><b>Exemples :</b><br>• 在学习上，他常常帮助我。<br><small><span class=""t4"">zài</span> <span class=""t2"">xué</span><span class=""t2"">xí</span> <span class=""t4"">shàng</span>， <span class=""t1"">tā</span> <span class=""t2"">cháng</span><span class=""t2"">cháng</span> <span class=""t1"">bāng</span><span class=""t4"">zhù</span> <span class=""t3"">wǒ</span>。</small><br><i>Pour les études, il m'aide souvent.</i><br><br>• 在大家的帮助下，他找到了工作。<br><small><span class=""t4"">zài</span> <span class=""t4"">dà</span><span class=""t1"">jiā</span> <span class=""t0"">de</span> <span class=""t1"">bāng</span><span class=""t4"">zhù</span> <span class=""t4"">xià</span>， <span class=""t1"">tā</span> <span class=""t3"">zhǎo</span><span class=""t4"">dào</span> <span class=""t0"">le</span> <span class=""t1"">gōng</span><span class=""t4"">zuò</span>。</small><br><i>Avec l'aide de tout le monde, il a trouvé du travail.</i><br><br>• 在生活中，我们会遇到很多问题。<br><small><span class=""t4"">zài</span><span class=""t1"">shēng</span><span class=""t2"">huó</span><span class=""t1"">zhōng</span>， <span class=""t3"">wǒ</span><span class=""t0"">men</span> <span class=""t4"">huì</span> <span class=""t4"">yù</span><span class=""t4"">dào</span> <span class=""t3"">hěn</span><span class=""t1"">duō</span> <span class=""t4"">wèn</span><span class=""t2"">tí</span>。</small><br><i>Dans la vie, on rencontre beaucoup de problèmes.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V (+ objet) / adjectif + prédicat — un verbe ou un adjectif comme sujet</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Un verbe, un groupe verbal ou un adjectif peut être sujet tel quel, sans aucune marque : 学汉语很有意思 = apprendre le chinois, c'est intéressant. Le français ajoute souvent « le fait de » ou « c'est », le chinois non. Le prédicat est en général un jugement : 很好, 很难, 有意思, 最重要, 对身体好…<br><br><b>Exemples :</b><br>• 游泳对身体很好。<br><small><span class=""t2"">yóu</span><span class=""t3"">yǒng</span> <span class=""t4"">duì</span> <span class=""t1"">shēn</span><span class=""t3"">tǐ</span> <span class=""t3"">hěn</span> <span class=""t3"">hǎo</span>。</small><br><i>Nager, c'est très bon pour la santé.</i><br><br>• 学汉语很有意思。<br><small><span class=""t2"">xué</span> <span class=""t4"">hàn</span><span class=""t3"">yǔ</span> <span class=""t3"">hěn</span> <span class=""t3"">yǒu</span><span class=""t4"">yì</span><span class=""t0"">si</span>。</small><br><i>Apprendre le chinois, c'est très intéressant.</i><br><br>• 快乐比什么都重要。<br><small><span class=""t4"">kuài</span><span class=""t4"">lè</span> <span class=""t3"">bǐ</span> <span class=""t2"">shén</span><span class=""t0"">me</span> <span class=""t1"">dōu</span> <span class=""t4"">zhòng</span><span class=""t4"">yào</span>。</small><br><i>Être heureux est plus important que tout.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">[Sujet + prédicat] + jugement — une proposition comme sujet</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Une petite proposition complète (sujet + prédicat) peut servir de sujet à toute la phrase, sans conjonction : [你不来] 也没关系 = que tu ne viennes pas, ce n'est pas grave. Le prédicat principal exprime souvent un jugement ou un effet : 没关系, 比较好, 很重要, 让我很高兴. Le français passe par « que + subjonctif », « si » ou « le fait que ».<br><br><b>Exemples :</b><br>• 你不来也没关系。<br><small><span class=""t3"">nǐ</span> <span class=""t4"">bù</span><span class=""t2"">lái</span> <span class=""t3"">yě</span> <span class=""t2"">méi</span><span class=""t1"">guān</span><span class=""t0"">xi</span>。</small><br><i>Ce n'est pas grave si tu ne viens pas.</i><br><br>• 我们一起去比较好。<br><small><span class=""t3"">wǒ</span><span class=""t0"">men</span> <span class=""t4"">yì</span><span class=""t3"">qǐ</span> <span class=""t4"">qù</span> <span class=""t3"">bǐ</span><span class=""t4"">jiào</span> <span class=""t3"">hǎo</span>。</small><br><i>Ce serait mieux qu'on y aille ensemble.</i><br><br>• 他考上大学让大家很高兴。<br><small><span class=""t1"">tā</span> <span class=""t3"">kǎo</span><span class=""t4"">shàng</span> <span class=""t4"">dà</span><span class=""t2"">xué</span> <span class=""t4"">ràng</span> <span class=""t4"">dà</span><span class=""t1"">jiā</span> <span class=""t3"">hěn</span> <span class=""t1"">gāo</span><span class=""t4"">xìng</span>。</small><br><i>Qu'il ait été reçu à l'université a rendu tout le monde heureux.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">Plusieurs déterminants + nom — ordre des éléments devant le nom</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Tous les déterminants se placent devant le nom, dans cet ordre habituel : possesseur (+ 的) → démonstratif (这 / 那) → nombre + classificateur → groupe descriptif avec 的 (很漂亮的, 站在门口的) → adjectif ou nom court sans 的 (新, 中国) → nom. Ex. 我的那两本新书 = mes deux livres neufs. Un adjectif d'une syllabe se colle au nom sans 的 et reste le plus proche du nom.<br><br><b>Exemples :</b><br>• 我的那两本新书不见了。<br><small><span class=""t3"">wǒ</span> <span class=""t0"">de</span> <span class=""t4"">nà</span> <span class=""t3"">liǎng</span><span class=""t3"">běn</span> <span class=""t1"">xīn</span><span class=""t1"">shū</span> <span class=""t2"">bú</span><span class=""t4"">jiàn</span> <span class=""t0"">le</span>。</small><br><i>Mes deux livres neufs ont disparu.</i><br><br>• 她买了一件很漂亮的新衣服。<br><small><span class=""t1"">tā</span> <span class=""t3"">mǎi</span> <span class=""t0"">le</span> <span class=""t2"">yí</span><span class=""t4"">jiàn</span> <span class=""t3"">hěn</span><span class=""t4"">piào</span><span class=""t4"">liàng</span> <span class=""t0"">de</span> <span class=""t1"">xīn</span> <span class=""t1"">yī</span><span class=""t0"">fu</span>。</small><br><i>Elle s'est acheté un nouveau vêtement très joli.</i><br><br>• 那两个站在门口的人是我同学。<br><small><span class=""t4"">nà</span> <span class=""t3"">liǎng</span><span class=""t4"">gè</span> <span class=""t4"">zhàn</span> <span class=""t4"">zài</span> <span class=""t2"">mén</span><span class=""t3"">kǒu</span> <span class=""t0"">de</span> <span class=""t2"">rén</span> <span class=""t4"">shì</span> <span class=""t3"">wǒ</span> <span class=""t2"">tóng</span><span class=""t2"">xué</span>。</small><br><i>Les deux personnes debout à l'entrée sont mes camarades de classe.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 住 / 走 / 上 / 到 — fixer, emporter, fermer ou réussir, atteindre</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>D'autres compléments de résultat, placés juste après le verbe. 住 : l'objet est fixé, retenu (记住 retenir, 站住 s'arrêter net). 走 : l'objet quitte le lieu (拿走 emporter, 开走 partir en voiture). 上 : fermeture ou but atteint (关上 fermer, 考上 être reçu à un examen d'entrée). 到 + lieu ou moment : on atteint un point (回到家, 睡到十点). Négation : 没 + verbe + complément (没记住).<br><br><b>Exemples :</b><br>• 请记住我的电话号码。<br><small><span class=""t3"">qǐng</span> <span class=""t4"">jì</span><span class=""t4"">zhù</span> <span class=""t3"">wǒ</span> <span class=""t0"">de</span> <span class=""t4"">diàn</span><span class=""t4"">huà</span><span class=""t4"">hào</span><span class=""t3"">mǎ</span>。</small><br><i>Retiens bien mon numéro de téléphone, s'il te plaît.</i><br><br>• 我的词典被同学拿走了。<br><small><span class=""t3"">wǒ</span> <span class=""t0"">de</span> <span class=""t2"">cí</span><span class=""t3"">diǎn</span> <span class=""t4"">bèi</span> <span class=""t2"">tóng</span><span class=""t2"">xué</span> <span class=""t2"">ná</span><span class=""t3"">zǒu</span> <span class=""t0"">le</span>。</small><br><i>Mon dictionnaire a été emporté par un camarade.</i><br><br>• 他一回到家就关上了门。<br><small><span class=""t1"">tā</span> <span class=""t4"">yì</span> <span class=""t2"">huí</span><span class=""t4"">dào</span> <span class=""t1"">jiā</span> <span class=""t4"">jiù</span> <span class=""t1"">guān</span><span class=""t4"">shàng</span> <span class=""t0"">le</span> <span class=""t2"">mén</span>。</small><br><i>Dès qu'il est rentré chez lui, il a fermé la porte.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 出 / 起 / 下 — sens figurés : faire apparaître, rappeler, fixer</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Ici, 出 / 起 / 下 ne décrivent plus un mouvement mais un résultat. V + 出 : faire apparaître ou identifier quelque chose (想出 trouver une idée, 听出 reconnaître à l'oreille). V + 起 : faire revenir à l'esprit ou aborder un sujet (想起 se rappeler, 说起 parler de). V + 下 : fixer, garder une trace (写下 noter, 留下 laisser). Piège : 想出 = trouver (une idée), 想起 = se souvenir de.<br><br><b>Exemples :</b><br>• 他想出了一个好办法。<br><small><span class=""t1"">tā</span> <span class=""t3"">xiǎng</span> <span class=""t1"">chū</span> <span class=""t0"">le</span> <span class=""t2"">yí</span><span class=""t4"">gè</span> <span class=""t3"">hǎo</span> <span class=""t4"">bàn</span><span class=""t3"">fǎ</span>。</small><br><i>Il a trouvé une bonne solution.</i><br><br>• 这张照片让我想起了小时候。<br><small><span class=""t4"">zhè</span><span class=""t1"">zhāng</span> <span class=""t4"">zhào</span><span class=""t4"">piàn</span> <span class=""t4"">ràng</span> <span class=""t3"">wǒ</span> <span class=""t3"">xiǎng</span><span class=""t3"">qǐ</span> <span class=""t0"">le</span> <span class=""t3"">xiǎo</span><span class=""t2"">shí</span><span class=""t0"">hou</span>。</small><br><i>Cette photo m'a rappelé mon enfance.</i><br><br>• 请在这儿写下你的名字。<br><small><span class=""t3"">qǐng</span> <span class=""t4"">zài</span> <span class=""t4"">zhè</span><span class=""t0"">r</span> <span class=""t3"">xiě</span><span class=""t4"">xià</span> <span class=""t3"">nǐ</span> <span class=""t0"">de</span> <span class=""t2"">míng</span><span class=""t0"">zi</span>。</small><br><i>Écris ton nom ici, s'il te plaît.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 上 — se mettre à (début d'un état qui dure)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>V + 上 indique qu'une action ou un état commence et se prolonge, surtout avec les verbes de sentiment : 爱上, 喜欢上 (se mettre à aimer), et à l'oral 聊上 (se mettre à bavarder). Il est souvent suivi de 了 et d'un objet. V + 起来 exprime plutôt le déclenchement d'une action (笑起来, 哭起来) ; s'il y a un objet, il se place entre 起 et 来 : 下起雨来.<br><br><b>Exemples :</b><br>• 她很快就喜欢上了这个城市。<br><small><span class=""t1"">tā</span> <span class=""t3"">hěn</span><span class=""t4"">kuài</span> <span class=""t4"">jiù</span> <span class=""t3"">xǐ</span><span class=""t0"">huan</span> <span class=""t4"">shàng</span> <span class=""t0"">le</span> <span class=""t4"">zhè</span><span class=""t4"">gè</span> <span class=""t2"">chéng</span><span class=""t4"">shì</span>。</small><br><i>Elle s'est vite mise à aimer cette ville.</i><br><br>• 他们一见面就聊上了。<br><small><span class=""t1"">tā</span><span class=""t0"">men</span> <span class=""t2"">yí</span> <span class=""t4"">jiàn</span><span class=""t4"">miàn</span> <span class=""t4"">jiù</span> <span class=""t2"">liáo</span> <span class=""t4"">shàng</span> <span class=""t0"">le</span>。</small><br><i>Dès qu'ils se sont vus, ils se sont mis à bavarder.</i><br><br>• 刚出门，天就下起雨来了。<br><small><span class=""t1"">gāng</span> <span class=""t1"">chū</span><span class=""t2"">mén</span>， <span class=""t1"">tiān</span> <span class=""t4"">jiù</span> <span class=""t4"">xià</span> <span class=""t3"">qǐ</span> <span class=""t3"">yǔ</span><span class=""t2"">lái</span> <span class=""t0"">le</span>。</small><br><i>À peine étions-nous sortis qu'il s'est mis à pleuvoir.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 下去 / 下来 — continuer (vers l'avenir / jusqu'à maintenant)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>V + 下去 : l'action se poursuit à partir de maintenant, vers l'avenir (说下去 continuer à parler, 学下去 continuer à apprendre). V + 下来 : l'action a duré du passé jusqu'à maintenant et on en garde le résultat (坚持下来 avoir tenu jusqu'au bout). Avec 不, 学不下去 signifie « ne plus pouvoir continuer ». L'objet ne se met pas derrière 下去 : on le place en tête (汉语我会学下去).<br><br><b>Exemples :</b><br>• 你说得很好，请说下去。<br><small><span class=""t3"">nǐ</span> <span class=""t1"">shuō</span> <span class=""t0"">de</span> <span class=""t3"">hěn</span> <span class=""t3"">hǎo</span>， <span class=""t3"">qǐng</span> <span class=""t1"">shuō</span> <span class=""t4"">xià</span><span class=""t4"">qù</span>。</small><br><i>Tu parles très bien, continue, s'il te plaît.</i><br><br>• 汉语很难，但是我会学下去。<br><small><span class=""t4"">hàn</span><span class=""t3"">yǔ</span> <span class=""t3"">hěn</span><span class=""t2"">nán</span>， <span class=""t4"">dàn</span><span class=""t4"">shì</span> <span class=""t3"">wǒ</span><span class=""t4"">huì</span> <span class=""t2"">xué</span> <span class=""t4"">xià</span><span class=""t4"">qù</span>。</small><br><i>Le chinois est difficile, mais je vais continuer à l'apprendre.</i><br><br>• 虽然很累，但他还是坚持下来了。<br><small><span class=""t1"">suī</span><span class=""t2"">rán</span> <span class=""t3"">hěn</span><span class=""t4"">lèi</span>， <span class=""t4"">dàn</span> <span class=""t1"">tā</span> <span class=""t2"">hái</span><span class=""t4"">shì</span> <span class=""t1"">jiān</span><span class=""t2"">chí</span> <span class=""t4"">xià</span><span class=""t2"">lái</span> <span class=""t0"">le</span>。</small><br><i>Même si c'était fatigant, il a tenu jusqu'au bout.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">Adjectif + 得很 — vraiment très (degré élevé)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Formule : adjectif + 得很. Exprime un degré élevé, comme 很 + adjectif, mais avec plus d'insistance, surtout à l'oral : 好得很 = vraiment très bien. On ne met pas 很 devant l'adjectif (*很好得很) et cette forme ne s'emploie pas à la négation. À distinguer du complément d'état verbe + 得 + 很 + adjectif (他跑得很快), qui décrit la manière d'une action.<br><br><b>Exemples :</b><br>• 今天天气好得很。<br><small><span class=""t1"">jīn</span><span class=""t1"">tiān</span><span class=""t1"">tiān</span><span class=""t4"">qì</span> <span class=""t3"">hǎo</span> <span class=""t0"">de</span> <span class=""t3"">hěn</span>。</small><br><i>Il fait vraiment très beau aujourd'hui.</i><br><br>• 这儿的东西贵得很。<br><small><span class=""t4"">zhè</span><span class=""t0"">r</span> <span class=""t0"">de</span> <span class=""t1"">dōng</span><span class=""t0"">xi</span> <span class=""t4"">guì</span><span class=""t0"">de</span> <span class=""t3"">hěn</span>。</small><br><i>Ici, tout est vraiment très cher.</i><br><br>• 我最近忙得很，没时间出去玩。<br><small><span class=""t3"">wǒ</span> <span class=""t4"">zuì</span><span class=""t4"">jìn</span> <span class=""t2"">máng</span> <span class=""t0"">de</span> <span class=""t3"">hěn</span>， <span class=""t2"">méi</span> <span class=""t2"">shí</span><span class=""t1"">jiān</span> <span class=""t1"">chū</span><span class=""t4"">qù</span><span class=""t2"">wán</span>。</small><br><i>Ces derniers temps, je suis très occupé(e), je n'ai pas le temps de sortir.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">Adjectif / verbe + 极了 / 坏了 — extrêmement, à n'en plus pouvoir</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Adjectif ou verbe de sentiment + 极了 : degré extrême (好极了, 高兴极了, 喜欢极了). Adjectif ou verbe + 坏了 : degré très fort, surtout pour un état physique ou une émotion pénible (累坏了, 饿坏了, 急坏了), mais aussi pour la joie (高兴坏了). 了 est obligatoire, et on n'ajoute ni 很 ni 非常 devant. Registre oral, sans forme négative.<br><br><b>Exemples :</b><br>• 这个地方漂亮极了。<br><small><span class=""t4"">zhè</span><span class=""t4"">gè</span> <span class=""t4"">dì</span><span class=""t0"">fang</span> <span class=""t4"">piào</span><span class=""t0"">liang</span> <span class=""t2"">jí</span><span class=""t0"">le</span>。</small><br><i>Cet endroit est magnifique.</i><br><br>• 收到你的信，我高兴极了。<br><small><span class=""t1"">shōu</span><span class=""t4"">dào</span> <span class=""t3"">nǐ</span> <span class=""t0"">de</span> <span class=""t4"">xìn</span>， <span class=""t3"">wǒ</span> <span class=""t1"">gāo</span><span class=""t4"">xìng</span> <span class=""t2"">jí</span><span class=""t0"">le</span>。</small><br><i>J'ai été ravi(e) de recevoir ta lettre.</i><br><br>• 走了一天路，我累坏了。<br><small><span class=""t3"">zǒu</span> <span class=""t0"">le</span> <span class=""t4"">yì</span><span class=""t1"">tiān</span> <span class=""t4"">lù</span>， <span class=""t3"">wǒ</span> <span class=""t4"">lèi</span><span class=""t4"">huài</span> <span class=""t0"">le</span>。</small><br><i>Après une journée de marche, je suis mort(e) de fatigue.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V (+ objet) + durée + 了 — temps écoulé depuis l'action</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Avec un verbe d'action ponctuelle (来, 到, 结婚, 毕业, 离开, 开始), la durée placée après le verbe n'indique pas combien de temps l'action a duré, mais le temps écoulé depuis qu'elle a eu lieu. Formule : verbe (+ objet) + durée + 了 ; l'objet se place avant la durée : 他来中国三年了 (et non *来三年中国). Comparer avec 我学了三年汉语, où la durée est celle de l'action elle-même.<br><br><b>Exemples :</b><br>• 他来中国三年了。<br><small><span class=""t1"">tā</span><span class=""t2"">lái</span> <span class=""t1"">zhōng</span><span class=""t2"">guó</span> <span class=""t1"">sān</span><span class=""t2"">nián</span> <span class=""t0"">le</span>。</small><br><i>Cela fait trois ans qu'il est arrivé en Chine.</i><br><br>• 他们结婚十年了。<br><small><span class=""t1"">tā</span><span class=""t0"">men</span> <span class=""t2"">jié</span><span class=""t1"">hūn</span> <span class=""t2"">shí</span><span class=""t2"">nián</span> <span class=""t0"">le</span>。</small><br><i>Ils sont mariés depuis dix ans.</i><br><br>• 电影已经开始十分钟了。<br><small><span class=""t4"">diàn</span><span class=""t3"">yǐng</span> <span class=""t3"">yǐ</span><span class=""t1"">jīng</span> <span class=""t1"">kāi</span><span class=""t3"">shǐ</span> <span class=""t2"">shí</span><span class=""t1"">fēn</span><span class=""t1"">zhōng</span> <span class=""t0"">le</span>。</small><br><i>Le film a commencé il y a déjà dix minutes.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">不是…吗？ — n'est-ce pas… ? (question rhétorique)</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Formule : 不是 + fait + 吗 ? Cette question n'attend pas de réponse : sous une forme négative, elle affirme avec force une chose que les deux interlocuteurs savent déjà. Elle sert à rappeler un fait, à s'étonner ou à faire un reproche : 你不是说不来吗？ = tu avais bien dit que tu ne venais pas (alors pourquoi es-tu là ?). Le sens est donc affirmatif : 这不是你的书吗？ = c'est bien ton livre.<br><br><b>Exemples :</b><br>• 你不是喜欢吃中国菜吗？<br><small><span class=""t3"">nǐ</span> <span class=""t2"">bú</span><span class=""t4"">shì</span> <span class=""t3"">xǐ</span><span class=""t0"">huan</span> <span class=""t1"">chī</span> <span class=""t1"">zhōng</span><span class=""t2"">guó</span> <span class=""t4"">cài</span> <span class=""t0"">ma</span>？</small><br><i>Tu aimes bien la cuisine chinoise, non ?</i><br><br>• 这不是你的书吗？<br><small><span class=""t4"">zhè</span> <span class=""t2"">bú</span><span class=""t4"">shì</span> <span class=""t3"">nǐ</span> <span class=""t0"">de</span> <span class=""t1"">shū</span> <span class=""t0"">ma</span>？</small><br><i>Mais c'est ton livre, non ?</i><br><br>• 你不是说今天不来吗？<br><small><span class=""t3"">nǐ</span> <span class=""t2"">bú</span><span class=""t4"">shì</span> <span class=""t1"">shuō</span> <span class=""t1"">jīn</span><span class=""t1"">tiān</span> <span class=""t4"">bù</span><span class=""t2"">lái</span> <span class=""t0"">ma</span>？</small><br><i>Tu n'avais pas dit que tu ne venais pas aujourd'hui ?</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">把 + objet + V + 在 / 到 + lieu — mettre ou emmener quelque chose quelque part</span><br><br><small style=""color:#888"">HSK 3</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>Quand une action déplace un objet précis vers un lieu, on emploie 把 : sujet + 把 + objet + verbe + 在 / 到 + lieu. 在 : l'objet se retrouve à cet endroit (放在, 忘在) ; 到 : il est amené jusque-là (送到, 搬到). L'objet ne peut pas suivre le verbe : *我放书在桌子上 est faux. La négation 没 / 不 et les verbes modaux se placent avant 把.<br><br><b>Exemples :</b><br>• 请把书放在桌子上。<br><small><span class=""t3"">qǐng</span> <span class=""t3"">bǎ</span> <span class=""t1"">shū</span> <span class=""t4"">fàng</span><span class=""t4"">zài</span> <span class=""t1"">zhuō</span><span class=""t0"">zi</span> <span class=""t4"">shàng</span>。</small><br><i>Pose le livre sur la table, s'il te plaît.</i><br><br>• 我把手机忘在出租车上了。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">bǎ</span> <span class=""t3"">shǒu</span><span class=""t1"">jī</span> <span class=""t4"">wàng</span> <span class=""t4"">zài</span> <span class=""t1"">chū</span><span class=""t1"">zū</span><span class=""t1"">chē</span> <span class=""t4"">shàng</span> <span class=""t0"">le</span>。</small><br><i>J'ai oublié mon téléphone dans le taxi.</i><br><br>• 他把孩子送到学校了。<br><small><span class=""t1"">tā</span> <span class=""t3"">bǎ</span> <span class=""t2"">hái</span><span class=""t0"">zi</span> <span class=""t4"">sòng</span><span class=""t4"">dào</span> <span class=""t2"">xué</span><span class=""t4"">xiào</span> <span class=""t0"">le</span>。</small><br><i>Il a emmené l'enfant à l'école.</i><br><br></div>"		HSK::3 grammaire deck_v2 ajout_2026 HSK_officiel	Chinois::Grammaire::3 · HSK 3
